y,q
1954,1642.23052993118
1955,1384.97813768012
1956,1463.10090662427
1957,810.811228946425
1958,1924.69915590255
1959,648.671504702078
1960,1088.73655422333
1961,1179.69107860813
1962,917.869018684218
1963,1852.71029375482
1964,2384.46124735339
1965,1204.4954867297
1966,723.936591813322
1967,1316.54667010453
1968,1956.62423062619
1969,1033.40506015702
1970,1320.65986364677
1971,1673.13857457897
1972,1086.74463098368
1973,1495.45845739669
1974,1641.19585219449
1975,2109.76449159097
1976,1092.49432112252
1977,1090.73820907829
1978,827.809748937855
1979,1085.80808973385
1980,1536.50632680197
1981,1541.11858432916
1982,1490.12609553939
1983,2400.02396503885
1984,1896.9912549614
1985,1194.42399414514
1986,755.372562996656
1987,1230.48139991272
1988,1152.91124987737
1989,1420.33255334203
1990,1062.52997259477
1991,795.784831789915
1992,1052.49531981901
1993,1071.34832294168
1994,796.055258233147
1995,679.358679292873
1996,1234.32433869915
1997,438.761063801444
1998,998.979912967245
1999,471.948346005102
2000,1269.6497386266
2001,623.545768138084
2002,673.636186390216
2003,1635.95982028324
2004,888.501591785521
2005,1594.38276315881
2006,605.211584477287
2007,1046.88700421528
2008,835.549923507097
2009,1154.68348635868
2010,1500.93918115126
2011,1868.89337166532
2012,934.88359189506
2013,745.26291577703
2014,638.95369934282
2015,475.037436813682
2016,581.031233640892
